Rank,Player ID,Player Name,Team,Position,Tgt,RZTgt,Rec,Rec Yds,Rec TDs,0-9 RecTDs,10-19 RecTDs,20-29 RecTDs,30-39 RecTDs,40-49 RecTDs,50+ RecTDs,>= 50yds,>= 100yds,>= 150yds,>= 200yds,Rush Yds,Rush TDs,Kick Ret Yds,Fum Lost,Scoring Opps,Pts
136,16636,"Corley, Malachi",CLE,WR,13.8,1.1,9.9,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,70.0,0.0,380.0,0.0,1.6,14.7
137,17087,"Thornton, Dont'e",LVR,WR,35.2,2.3,12.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.9,14.0
138,15759,"Metchie, John",CAR,WR,26.8,3.2,17.8,136.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.5,0.3,0.1,0.0,-2.1,0.0,61.0,0.0,2.3,13.9
139,17234,"Horn, Jimmy",CAR,WR,19.4,4.4,11.4,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,38.0,0.0,0.0,0.0,0.6,13.7
140,14845,"Davis, Gabriel",BUF,WR,16.0,3.9,10.8,121.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.0,0.0,6.0,0.0,3.9,13.5
141,16751,"Means, Bub",NOS,WR,13.8,0.5,8.4,95.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.5,12.3
142,15785,"Melton, Bo",GBP,WR,19.9,2.1,9.9,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,42.0,0.0,79.0,0.5,1.7,12.3
143,15491,"Skowronek, Ben",PIT,WR,11.3,0.0,7.9,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.0,0.0,20.0,0.0,0.0,12.2
144,16299,"Davis, Derius",LAC,WR,9.7,3.0,5.2,52.0,1.2,0.0,1.0,0.2,0.0,0.0,0.0,0.2,0.1,0.0,0.0,-3.4,0.0,487.0,0.0,3.2,12.1
145,17333,"Cooper, Darius",PHI,WR,13.7,1.7,11.2,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.4,11.9
146,17353,"Walker, Jahdae",CHI,WR,7.0,1.7,3.9,51.0,1.1,0.9,0.0,0.2,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,465.0,0.0,1.9,11.6
147,16975,"Oliver, Bryce",TEN,WR,13.0,1.3,8.3,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,191.0,0.0,0.0,11.1
148,17086,"Royals, Jalen",KCC,WR,26.3,4.9,14.3,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,5.0,0.0,251.0,0.0,2.3,11.1
149,16393,"Bobo, Jake",SEA,WR,8.2,0.2,8.2,92.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,24.0,0.0,0.2,10.6
150,15292,"Brown, Dyami",WAS,WR,28.4,6.8,10.4,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,13.0,0.0,84.0,0.0,3.3,10.5
151,16422,"Remigio, Nikko",KCC,WR,7.7,0.5,3.4,67.0,0.5,0.0,0.3,0.0,0.0,0.3,0.0,0.3,0.1,0.0,0.0,0.0,0.0,705.0,0.0,0.8,9.9
152,13776,"Watson, Justin",HOU,WR,8.0,0.9,3.6,43.0,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,-4.9,0.0,0.0,0.0,0.9,9.2
153,13168,"Reynolds, Josh",NYJ,WR,21.9,1.3,9.4,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,1.3,8.9
154,17514,"Stribling, De'Zhaun",SFO,WR,10.9,0.4,5.5,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.1,0.0,1.0,0.0,288.0,0.0,0.4,8.9
155,13377,"Patrick, Tim",NYJ,WR,12.6,2.3,5.1,45.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.1,0.0,0.0,6.0,0.0,132.0,0.0,1.5,8.1
156,14849,"Hodgins, Isaiah",NYG,WR,10.7,1.4,5.3,65.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,7.8
157,17184,"Lane, Jaylin",WAS,WR,17.8,0.0,7.2,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,7.4
158,16858,"Tipton, Mason",NOS,WR,19.3,1.3,8.1,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,8.0,0.0,349.0,0.0,1.4,7.3
159,16533,"Jackson, Shedrick",LVR,WR,7.6,0.0,4.0,46.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,7.1
160,17521,"Thomas, Zavion",CHI,WR,21.6,3.4,8.2,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,1.0,0.0,403.0,0.0,1.0,6.9
161,16883,"Johnson, Kameron",TBB,WR,9.1,1.1,3.9,37.0,0.4,0.0,0.3,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,5.0,0.0,564.0,0.0,0.4,6.8
162,15109,"Westbrook-Ikhine, Nick",IND,WR,27.0,1.9,8.8,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,2.0,0.0,243.0,0.0,0.8,6.6
